restaurant_id,restaurant_name,city,cuisine,rating,created_at,updated_at
25,"Bakshi, Naik and Pathak",Gurgaon,Chinese,4.8,2026-06-25T06:49:39.553408+00:00,2026-06-25T06:49:39.553408+00:00
26,Baria-Sundaram,Delhi,Fast Food,4.0,2026-06-25T06:49:39.553423+00:00,2026-06-25T06:49:39.553423+00:00
27,Saran-Chad,Noida,Biryani,4.0,2026-06-25T06:49:39.553438+00:00,2026-06-25T06:49:39.553438+00:00
28,Pillay-Shah,Hyderabad,South Indian,4.3,2026-06-25T06:49:39.553454+00:00,2026-06-25T06:49:39.553454+00:00
29,Sharma-Nagar,Noida,Desserts,3.8,2026-06-25T06:49:39.553469+00:00,2026-06-25T06:49:39.553469+00:00
30,Dash LLC,Hyderabad,South Indian,4.1,2026-06-25T06:49:39.553482+00:00,2026-06-25T06:49:39.553482+00:00
31,"Gola, Jayaraman and Misra",Chennai,Chinese,4.5,2026-06-25T06:49:39.553495+00:00,2026-06-25T06:49:39.553495+00:00
32,Shetty Group,Chennai,Fast Food,5.0,2026-06-25T06:49:39.553510+00:00,2026-06-25T06:49:39.553510+00:00
33,Bhargava LLC,Chennai,North Indian,4.3,2026-06-25T06:49:39.553523+00:00,2026-06-25T06:49:39.553523+00:00
34,"Hegde, Sandhu and Grewal",Pune,Biryani,4.7,2026-06-25T06:49:39.553536+00:00,2026-06-25T06:49:39.553536+00:00
35,Kalla-Shere,Delhi,Cafe,4.2,2026-06-25T06:49:39.553552+00:00,2026-06-25T06:49:39.553552+00:00
36,Pradhan-Prakash,Mumbai,Cafe,4.7,2026-06-25T06:49:39.553565+00:00,2026-06-25T06:49:39.553565+00:00
37,"Mangat, Vohra and Arora",Noida,South Indian,4.5,2026-06-25T06:49:39.553578+00:00,2026-06-25T06:49:39.553578+00:00
38,"Bal, Hari and Sankar",Pune,Italian,4.9,2026-06-25T06:49:39.553594+00:00,2026-06-25T06:49:39.553594+00:00
39,"Vyas, Bora and Ram",Noida,Fast Food,4.0,2026-06-25T06:49:39.553614+00:00,2026-06-25T06:49:39.553614+00:00
40,"Anne, Devi and Bhakta",Delhi,Cafe,5.0,2026-06-25T06:49:39.553630+00:00,2026-06-25T06:49:39.553630+00:00
41,Tiwari-Bumb,Gurgaon,North Indian,4.3,2026-06-25T06:49:39.553645+00:00,2026-06-25T06:49:39.553645+00:00
42,Krishna-Arora,Bangalore,Fast Food,4.5,2026-06-25T06:49:39.553658+00:00,2026-06-25T06:49:39.553658+00:00
43,Sule Group,Hyderabad,Italian,4.1,2026-06-25T06:49:39.553671+00:00,2026-06-25T06:49:39.553671+00:00
44,"Sarma, Choudhary and Dugar",Hyderabad,Fast Food,4.3,2026-06-25T06:49:39.553684+00:00,2026-06-25T06:49:39.553684+00:00
45,Chauhan Ltd,Mumbai,Italian,4.6,2026-06-25T06:49:39.553699+00:00,2026-06-25T06:49:39.553699+00:00
46,"Rama, Sood and Zacharia",Chennai,Chinese,4.9,2026-06-25T06:49:39.553712+00:00,2026-06-25T06:49:39.553712+00:00
47,Aggarwal-Dhawan,Pune,Chinese,4.3,2026-06-25T06:49:39.553727+00:00,2026-06-25T06:49:39.553727+00:00
48,Grover-Sen,Delhi,Cafe,4.1,2026-06-25T06:49:39.553740+00:00,2026-06-25T06:49:39.553740+00:00
49,Doshi-Bhatnagar,Delhi,South Indian,4.9,2026-06-25T06:49:39.553752+00:00,2026-06-25T06:49:39.553752+00:00
50,"Nazareth, Modi and Mane",Hyderabad,Chinese,3.7,2026-06-25T06:49:39.553765+00:00,2026-06-25T06:49:39.553765+00:00
51,Pandya-Sur,Delhi,Biryani,4.4,2026-06-25T06:49:39.553781+00:00,2026-06-25T06:49:39.553781+00:00
52,Bhatia Group,Hyderabad,Chinese,4.3,2026-06-25T06:49:39.553794+00:00,2026-06-25T06:49:39.553794+00:00
53,Iyengar Ltd,Gurgaon,Cafe,4.8,2026-06-25T06:49:39.553808+00:00,2026-06-25T06:49:39.553808+00:00
54,Sura-Gole,Noida,South Indian,3.7,2026-06-25T06:49:39.553836+00:00,2026-06-25T06:49:39.553836+00:00
55,"Raghavan, Walla and Kadakia",Pune,Italian,4.2,2026-06-25T06:49:39.553850+00:00,2026-06-25T06:49:39.553850+00:00
56,Parsa-Jaggi,Delhi,Fast Food,4.1,2026-06-25T06:49:39.553868+00:00,2026-06-25T06:49:39.553868+00:00
57,"Mahal, Dar and Kala",Chennai,Biryani,4.4,2026-06-25T06:49:39.553886+00:00,2026-06-25T06:49:39.553886+00:00
58,Iyengar-Ramaswamy,Chennai,Fast Food,4.0,2026-06-25T06:49:39.553903+00:00,2026-06-25T06:49:39.553903+00:00
59,Kohli LLC,Noida,Desserts,4.2,2026-06-25T06:49:39.553917+00:00,2026-06-25T06:49:39.553917+00:00
60,"Sethi, Desai and Ramaswamy",Hyderabad,South Indian,4.8,2026-06-25T06:49:39.553930+00:00,2026-06-25T06:49:39.553930+00:00
61,Karan Inc,Chennai,Italian,4.2,2026-06-25T06:49:39.553945+00:00,2026-06-25T06:49:39.553945+00:00
62,Balan-Hayer,Delhi,Biryani,3.7,2026-06-25T06:49:39.553958+00:00,2026-06-25T06:49:39.553958+00:00
63,Ramanathan-Baral,Noida,Cafe,4.8,2026-06-25T06:49:39.553970+00:00,2026-06-25T06:49:39.553970+00:00
64,Tandon Inc,Bangalore,Cafe,4.8,2026-06-25T06:49:39.553983+00:00,2026-06-25T06:49:39.553983+00:00
65,Goyal and Sons,Noida,Fast Food,3.8,2026-06-25T06:49:39.553996+00:00,2026-06-25T06:49:39.553996+00:00
66,Vig Group,Pune,South Indian,3.6,2026-06-25T06:49:39.554010+00:00,2026-06-25T06:49:39.554010+00:00
67,Basu and Sons,Pune,Cafe,4.7,2026-06-25T06:49:39.554022+00:00,2026-06-25T06:49:39.554022+00:00
68,Dyal-Jain,Noida,Chinese,4.5,2026-06-25T06:49:39.554035+00:00,2026-06-25T06:49:39.554035+00:00
69,Sinha-Memon,Pune,Desserts,4.7,2026-06-25T06:49:39.554047+00:00,2026-06-25T06:49:39.554047+00:00
70,Prabhakar-Bora,Noida,Italian,4.7,2026-06-25T06:49:39.554060+00:00,2026-06-25T06:49:39.554060+00:00
71,Murthy-Srinivas,Delhi,Cafe,4.9,2026-06-25T06:49:39.554073+00:00,2026-06-25T06:49:39.554073+00:00
72,"Soni, Wadhwa and Gopal",Pune,Italian,4.7,2026-06-25T06:49:39.554085+00:00,2026-06-25T06:49:39.554085+00:00
73,Anand-Warrior,Bangalore,Italian,5.0,2026-06-25T06:49:39.554101+00:00,2026-06-25T06:49:39.554101+00:00
74,"Pingle, Hans and Kota",Noida,Cafe,4.8,2026-06-25T06:49:39.554117+00:00,2026-06-25T06:49:39.554117+00:00
75,Garg and Sons,Noida,Italian,4.3,2026-06-25T06:49:39.554132+00:00,2026-06-25T06:49:39.554132+00:00
76,Basak-Balasubramanian,Pune,Cafe,4.0,2026-06-25T06:49:39.554145+00:00,2026-06-25T06:49:39.554145+00:00
77,Sanghvi Group,Noida,Desserts,4.9,2026-06-25T06:49:39.554161+00:00,2026-06-25T06:49:39.554161+00:00
78,"Handa, Chowdhury and Sinha",Delhi,South Indian,4.0,2026-06-25T06:49:39.554174+00:00,2026-06-25T06:49:39.554174+00:00
79,"Bir, Keer and Barad",Noida,Cafe,4.7,2026-06-25T06:49:39.554190+00:00,2026-06-25T06:49:39.554190+00:00
80,"Raman, Shetty and Sengupta",Pune,Biryani,4.6,2026-06-25T06:49:39.554205+00:00,2026-06-25T06:49:39.554205+00:00
81,Chakrabarti Ltd,Noida,Italian,3.7,2026-06-25T06:49:39.554221+00:00,2026-06-25T06:49:39.554221+00:00
82,Garg LLC,Bangalore,Cafe,3.7,2026-06-25T06:49:39.554234+00:00,2026-06-25T06:49:39.554234+00:00
83,"Keer, Narang and Das",Pune,South Indian,5.0,2026-06-25T06:49:39.554247+00:00,2026-06-25T06:49:39.554247+00:00
84,"Kibe, Prabhakar and Sastry",Delhi,South Indian,3.8,2026-06-25T06:49:39.554262+00:00,2026-06-25T06:49:39.554262+00:00
85,Natarajan Ltd,Mumbai,North Indian,3.7,2026-06-25T06:49:39.554278+00:00,2026-06-25T06:49:39.554278+00:00
86,Dhar-Apte,Hyderabad,Desserts,3.8,2026-06-25T06:49:39.554291+00:00,2026-06-25T06:49:39.554291+00:00
87,"Nair, Balakrishnan and Rajagopalan",Chennai,North Indian,4.9,2026-06-25T06:49:39.554303+00:00,2026-06-25T06:49:39.554303+00:00
88,"Babu, Nagarajan and Dixit",Noida,Chinese,4.7,2026-06-25T06:49:39.554318+00:00,2026-06-25T06:49:39.554318+00:00
89,"Magar, Gade and Gole",Mumbai,Desserts,4.6,2026-06-25T06:49:39.554333+00:00,2026-06-25T06:49:39.554333+00:00
90,Borde LLC,Noida,Cafe,4.4,2026-06-25T06:49:39.554351+00:00,2026-06-25T06:49:39.554351+00:00
91,"Mistry, Krishnan and Khanna",Delhi,Chinese,3.8,2026-06-25T06:49:39.554363+00:00,2026-06-25T06:49:39.554363+00:00
92,Korpal and Sons,Bangalore,North Indian,4.7,2026-06-25T06:49:39.554379+00:00,2026-06-25T06:49:39.554379+00:00
93,Krish-Sarraf,Hyderabad,Biryani,4.8,2026-06-25T06:49:39.554391+00:00,2026-06-25T06:49:39.554391+00:00
94,Dewan LLC,Pune,South Indian,4.5,2026-06-25T06:49:39.554404+00:00,2026-06-25T06:49:39.554404+00:00
95,"Bains, Char and Gaba",Noida,Biryani,3.7,2026-06-25T06:49:39.554417+00:00,2026-06-25T06:49:39.554417+00:00
96,Din Group,Chennai,Cafe,3.9,2026-06-25T06:49:39.554434+00:00,2026-06-25T06:49:39.554434+00:00
97,Yadav-Sama,Mumbai,Chinese,4.9,2026-06-25T06:49:39.554446+00:00,2026-06-25T06:49:39.554446+00:00
98,Thaman PLC,Mumbai,Biryani,5.0,2026-06-25T06:49:39.554459+00:00,2026-06-25T06:49:39.554459+00:00
99,Prakash-Kashyap,Pune,Cafe,4.2,2026-06-25T06:49:39.554471+00:00,2026-06-25T06:49:39.554471+00:00
100,"Ahuja, Goyal and Lall",Hyderabad,Fast Food,3.8,2026-06-25T06:49:39.554484+00:00,2026-06-25T06:49:39.554484+00:00
