order_id,customer_id,restaurant_id,order_amount,status,created_at,updated_at
42,45,16,1704.6,DELIVERED,2026-06-25 06:31:04.210254,2026-06-25T06:43:31.120799+00:00
43,40,55,1351.21,CANCELLED,2026-06-25 06:31:04.210280,2026-06-25T06:43:31.120799+00:00
44,22,39,621.23,DELIVERED,2026-06-25 06:31:04.210308,2026-06-25T06:43:31.120799+00:00
45,16,60,1246.9,DELIVERED,2026-06-25 06:31:04.210337,2026-06-25T06:43:31.120799+00:00
46,38,72,1909.33,PREPARING,2026-06-25 06:31:04.210363,2026-06-25T06:43:31.120799+00:00
47,22,52,572.5,DELIVERED,2026-06-25 06:31:04.210392,2026-06-25T06:43:31.120799+00:00
48,18,72,1131.39,PREPARING,2026-06-25 06:31:04.210421,2026-06-25T06:43:31.120799+00:00
49,11,82,208.18,PLACED,2026-06-25 06:31:04.210448,2026-06-25 06:31:04.210448
50,42,54,1755.21,PREPARING,2026-06-25 06:31:04.210474,2026-06-25T06:43:31.120799+00:00
51,41,3,1789.0,CANCELLED,2026-06-25 06:31:04.210500,2026-06-25T06:43:31.120799+00:00
52,11,10,919.77,PLACED,2026-06-25 06:31:04.210526,2026-06-25 06:31:04.210526
53,2,38,420.3,DELIVERED,2026-06-25 06:31:04.210552,2026-06-25T06:43:31.120799+00:00
54,19,87,1095.03,PLACED,2026-06-25 06:31:04.210578,2026-06-25 06:31:04.210578
55,32,19,1429.6,PREPARING,2026-06-25 06:31:04.210605,2026-06-25T06:43:31.120799+00:00
56,38,60,286.95,DELIVERED,2026-06-25 06:31:04.210631,2026-06-25T06:43:31.120799+00:00
57,44,54,1747.71,DELIVERED,2026-06-25 06:31:04.210656,2026-06-25T06:43:31.120799+00:00
58,42,34,1424.05,PREPARING,2026-06-25 06:31:04.210682,2026-06-25T06:43:31.120799+00:00
59,24,84,1608.98,PREPARING,2026-06-25 06:31:04.210708,2026-06-25T06:43:31.120799+00:00
60,1,25,724.44,DELIVERED,2026-06-25 06:31:04.210734,2026-06-25T06:43:31.120799+00:00
61,44,81,1338.72,DELIVERED,2026-06-25 06:31:04.210760,2026-06-25T06:43:31.120799+00:00
62,35,42,1284.53,PREPARING,2026-06-25 06:31:04.210796,2026-06-25T06:43:31.120799+00:00
